appic_number,site,city,state,url,display_id,last_updated,department,address,primary_agency_type,additional_agency_types,web_address,brochure_url,apa_accreditation,cpa_accreditation,start_date,ft_slots,ft_stipend,fringe_benefits,accepting_applicants,application_due_date,us_citizenship_required,noncitizen_work_auth_required,min_intervention_hours,min_assessment_hours,min_combined_hours,min_years_grad,accepts_clinical,accepts_counseling,accepts_school,accepts_phd,accepts_psyd,populations,treatment_modalities,experience_areas,research_level,assessment_modality_level,ft_stipend_raw,lat,lng,geocode_exact
1692, Aurora Mental Health and Recovery/Psychology Internship Program,Aurora,CO,https://membership.appic.org/directory/display/741,741,07/23/2026,Psychology Internship Program,"1290 Chambers Road Aurora, Colorado 80011",Community Mental Health Center,,http://www.aumhc.org,https://www.aumhc.org/careers/training-programs/,Accredited,Not Accredited,08/10/2027,4.0,42000.0,"Dissertation Release Time,
              
            
              Dental Insurance,
              
            
              Disability Insurance,
              
            
              Health Insurance,
              
              
            
              Life Insurance,
              
            
              Professional Development Time,
              
            
              Sick Leave,
              
                  
              Vacation",True,11/01/2026 11:59 PM EST,False,True,500.0,100.0,,3.0,True,True,True,True,True,"['Children', 'Adolescents', 'Adults', 'Family', 'Older Adults', 'Outpatients', 'LGBTQ+', 'Ethnic minorities', 'Spanish-speaking', 'Students', 'Urban', 'Low income', 'People without housing']","{'Assessment': 'major_area', 'Individual Therapy': 'major_area', 'Couples Therapy': 'exposure', 'Family Therapy': 'major_area', 'Group Therapy': 'major_area', 'Community Intervention': 'exposure', 'Consultation/Liaison': 'experience', 'Crisis Intervention': 'experience', 'Brief Psychotherapy': 'major_area', 'Long-term Psychotherapy': 'major_area', 'Evidenced Based Practice': 'experience', 'Evidence Based Research': 'exposure', 'Supervision of Practicum students': 'exposure'}","{'Health Psychology': 'major_area', 'Learning Disabilities': 'exposure', 'Developmental Disabilities': 'exposure', 'Assessment': 'major_area', 'Serious Mental Illness': 'major_area', 'Anxiety Disorders': 'major_area', 'Trauma/PTSD': 'major_area', 'Sexual Abuse': 'major_area', 'Substance Use Disorders': 'major_area', 'Geropsychology': 'exposure', 'Pediatrics': 'experience', 'School': 'exposure', 'Multicultural Therapy': 'major_area', 'Religion/Spirituality': 'experience', 'Empirically-Supported Treatments': 'major_area', 'Program Development/Evaluation': 'exposure', 'Supervision': 'exposure', 'Research': 'exposure', 'Administration': 'exposure'}",exposure,major_area,42000.0,39.7294,-104.8319,True
1165, Children's Hospital Stanford/Children's Health Council/Division of Child and Adolescent Psychiatry,Stanford,CA,https://membership.appic.org/directory/display/183,183,07/15/2026,Division of Child and Adolescent Psychiatry,"Stanford University Dept. of Psychiatry and Behavioral Sciences 401 Quarry Rd. Stanford, California 94305",Child/Adolescent Psychiatric or Pediatrics,Academic Health Center Child/Adolescent Psychiatric or Pediatrics Community Mental Health Center Consortium Medical School Private General Hospital Private Outpatient Clinic,https://med.stanford.edu/childpsychiatry/training/doc-psych-internship.html,https://med.stanford.edu/childpsychiatry/training/doc-psych-internship.html,Accredited,Not Accredited,07/01/2027,4.0,70000.0,"Dissertation Release Time,
              
            
              Dental Insurance,
              
              
            
              Health Insurance,
              
              
              
            
              Professional Development Time,
              
            
              Sick Leave,
              
                  
              Vacation",True,11/02/2026 11:59 PM EST,False,True,300.0,100.0,,4.0,True,True,True,True,True,"['Children', 'Adolescents', 'Family', 'Inpatients', 'Outpatients', 'LGBTQ+', 'Ethnic minorities', 'Spanish-speaking', 'Students', 'Urban', 'Low income', 'People without housing']","{'Assessment': 'emphasis', 'Individual Therapy': 'major_area', 'Family Therapy': 'exposure', 'Group Therapy': 'exposure', 'Community Intervention': 'exposure', 'Consultation/Liaison': 'experience', 'Crisis Intervention': 'exposure', 'Brief Psychotherapy': 'emphasis', 'Long-term Psychotherapy': 'exposure', 'Evidenced Based Practice': 'major_area', 'Supervision of Practicum students': 'exposure'}","{'Health Psychology': 'major_area', 'Eating Disorders': 'experience', 'Physical Disabilities': 'exposure', 'Learning Disabilities': 'experience', 'Developmental Disabilities': 'experience', 'Assessment': 'experience', 'Neuropsychology-Child': 'exposure', 'Serious Mental Illness': 'exposure', 'Anxiety Disorders': 'emphasis', 'Trauma/PTSD': 'emphasis', 'Sexual Abuse': 'exposure', 'Substance Use Disorders': 'exposure', 'Pediatrics': 'major_area', 'School': 'exposure', 'Multicultural Therapy': 'experience', 'Religion/Spirituality': 'exposure', 'Empirically-Supported Treatments': 'major_area', 'Supervision': 'exposure'}",,emphasis,70000.0,37.2,-119.4,False
2095,Access Institute for Psychological Services/Psychology,San Francisco,CA,https://membership.appic.org/directory/display/475,475,07/15/2026,Psychology,"110 Gough St. San Francisco, California 94102",Community Mental Health Center,Community Mental Health Center,http://www.accessinst.org,https://www.accessinst.org/training-brochure.html,Accredited,Not Accredited,09/07/2026,5.0,39894.0,"Dissertation Release Time,
              
            
              Dental Insurance,
              
            
              Disability Insurance,
              
            
              Health Insurance,
              
            
              Licensing Exam Release Time,
              
              
            
              Professional Development Time,
              
            
              Sick Leave,
              
                  
              Vacation",True,11/16/2026 11:59 PM EST,False,True,500.0,50.0,,4.0,True,True,True,True,True,"['Children', 'Adolescents', 'Adults', 'Family', 'Older Adults', 'Outpatients', 'LGBTQ+', 'Ethnic minorities', 'Spanish-speaking', 'French-speaking', 'Students', 'International Students', 'Urban', 'Low income', 'People without housing']","{'Assessment': 'emphasis', 'Individual Therapy': 'major_area', 'Couples Therapy': 'exposure', 'Consultation/Liaison': 'experience', 'Crisis Intervention': 'exposure', 'Brief Psychotherapy': 'exposure', 'Long-term Psychotherapy': 'major_area', 'Evidenced Based Practice': 'major_area'}","{""Women's Health"": 'experience', 'Eating Disorders': 'experience', 'Sexual Disorders': 'experience', 'Learning Disabilities': 'experience', 'Assessment': 'major_area', 'Neuropsychology-Adult': 'major_area', 'Neuropsychology-Child': 'major_area', 'Serious Mental Illness': 'major_area', 'Anxiety Disorders': 'major_area', 'Trauma/PTSD': 'major_area', 'Sexual Abuse': 'experience', 'Substance Use Disorders': 'major_area', 'Geropsychology': 'experience', 'Multicultural Therapy': 'major_area', 'Religion/Spirituality': 'exposure', 'Empirically-Supported Treatments': 'major_area', 'Program Development/Evaluation': 'exposure', 'Supervision': 'major_area', 'Research': 'exposure', 'Administration': 'experience'}",exposure,emphasis,39894.0,37.7749,-122.4194,True
2566,Achieve Behavioral Health/Psychology,Monsey,NY,https://membership.appic.org/directory/display/2904,2904,08/07/2026,Psychology,"25 Robert Pitt Dr. St. 101 Monsey, New York 10952",Community Mental Health Center,Child/Adolescent Psychiatric or Pediatrics Community Mental Health Center Other,https://achievebh.org/,https://achievebh.org/psychology-doctoral-internship/,Not Accredited,Not Accredited,09/01/2027,7.0,42000.0,"Dissertation Release Time,
              
            
              Dental Insurance,
              
              
            
              Health Insurance,
              
              
              
              
            
              Sick Leave,
              
                  
              Vacation",True,11/20/2026 11:59 PM EST,True,True,,,,3.0,True,True,True,True,True,"['Children', 'Adolescents', 'Adults', 'Family', 'Older Adults', 'Outpatients', 'LGBTQ+', 'Ethnic minorities', 'Spanish-speaking', 'Students', 'Low income']","{'Assessment': 'emphasis', 'Individual Therapy': 'major_area', 'Couples Therapy': 'exposure', 'Family Therapy': 'exposure', 'Group Therapy': 'experience', 'Community Intervention': 'exposure', 'Consultation/Liaison': 'exposure', 'Crisis Intervention': 'experience', 'Brief Psychotherapy': 'emphasis', 'Long-term Psychotherapy': 'exposure', 'Evidenced Based Practice': 'major_area', 'Evidence Based Research': 'exposure'}","{""Women's Health"": 'experience', 'Eating Disorders': 'major_area', 'Serious Mental Illness': 'experience', 'Anxiety Disorders': 'emphasis', 'Trauma/PTSD': 'emphasis', 'Sexual Abuse': 'emphasis', 'Substance Use Disorders': 'exposure', 'Geropsychology': 'exposure', 'Pediatrics': 'major_area', 'School': 'major_area', 'Religion/Spirituality': 'major_area', 'Empirically-Supported Treatments': 'major_area', 'Research': 'exposure'}",exposure,emphasis,42000.0,41.1112,-74.0685,True
1254,Adler University/Adler Community Health Services,Chicago,IL,https://membership.appic.org/directory/display/261,261,07/30/2026,Adler Community Health Services,"17 N. Dearborn Street Chicago, Illinois 60602",Community Mental Health Center,Child/Adolescent Psychiatric or Pediatrics Community Mental Health Center,http://adler.edu/achs,https://www.adler.edu/wp-content/uploads/2023/10/DCHC-TP-Community-Mental-Health-Internship.pdf,Accredited,Not Accredited,09/01/2027,8.0,40000.0,"Sick Leave,
              
                  
              Vacation",True,11/27/2026 11:59 PM EST,False,True,400.0,100.0,,3.0,True,True,False,True,True,"['Children', 'Adolescents', 'Adults', 'Family', 'Older Adults', 'Inpatients', 'Outpatients', 'LGBTQ+', 'Ethnic minorities', 'Spanish-speaking', 'Students', 'International Students', 'Urban', 'Low income', 'People without housing']","{'Assessment': 'experience', 'Individual Therapy': 'experience', 'Couples Therapy': 'exposure', 'Family Therapy': 'exposure', 'Group Therapy': 'exposure', 'Community Intervention': 'exposure', 'Consultation/Liaison': 'experience', 'Crisis Intervention': 'experience', 'Brief Psychotherapy': 'emphasis', 'Long-term Psychotherapy': 'experience', 'Cognitive Rehabilitation': 'exposure', 'Primary Care': 'experience', 'Evidenced Based Practice': 'emphasis', 'Evidence Based Research': 'exposure', 'Supervision of Practicum students': 'exposure'}","{'Health Psychology': 'exposure', ""Women's Health"": 'exposure', 'HIV/AIDS': 'exposure', 'Eating Disorders': 'exposure', 'Sexual Disorders': 'exposure', 'Physical Disabilities': 'experience', 'Learning Disabilities': 'experience', 'Developmental Disabilities': 'experience', 'Assessment': 'experience', 'Neuropsychology-Adult': 'exposure', 'Neuropsychology-Child': 'exposure', 'Serious Mental Illness': 'major_area', 'Anxiety Disorders': 'emphasis', 'Trauma/PTSD': 'emphasis', 'Sexual Abuse': 'experience', 'Substance Use Disorders': 'major_area', 'Forensics/Corrections': 'experience', 'Geropsychology': 'exposure', 'Pediatrics': 'exposure', 'School': 'emphasis', 'Multicultural Therapy': 'exposure', 'Feminist Therapy': 'exposure', 'Empirically-Supported Treatments': 'major_area', 'Public Policy/Advocacy': 'exposure', 'Program Development/Evaluation': 'experience', 'Supervision': 'experience', 'Research': 'exposure', 'Administration': 'experience', 'Integrated health care - primary': 'experience'}",exposure,experience,40000.0,41.85,-87.65,True
2609,"Advanced Psychotherapeutics, PLLC/Clinical Psychology Internship Training ",Forest,VA,https://membership.appic.org/directory/display/2970,2970,06/06/2026,Clinical Psychology Internship Training,"1047 Vista Park Dr. Ste A Forest, Virginia 24551",Private Outpatient Clinic,Private Outpatient Clinic,http://www.advancedpsychotherapeutics.com,http://www.advancedpsychotherapeutics.com,Not Accredited,Not Accredited,08/03/2026,2.0,32000.0,Vacation,False,11/14/2025 11:59 PM EST,True,True,,,,,True,False,False,True,True,"['Toddlers', 'Children', 'Adolescents', 'Adults', 'Family', 'Older Adults', 'Outpatients', 'Students']","{'Assessment': 'emphasis', 'Individual Therapy': 'experience', 'Couples Therapy': 'exposure', 'Family Therapy': 'exposure', 'Group Therapy': 'exposure', 'Consultation/Liaison': 'experience', 'Crisis Intervention': 'exposure', 'Brief Psychotherapy': 'emphasis', 'Long-term Psychotherapy': 'exposure', 'Cognitive Rehabilitation': 'exposure', 'Evidenced Based Practice': 'emphasis', 'Evidence Based Research': 'exposure', 'Supervision of Practicum students': 'exposure'}","{'Eating Disorders': 'exposure', 'Rehabilitation Psychology': 'exposure', 'Learning Disabilities': 'experience', 'Developmental Disabilities': 'experience', 'Assessment': 'emphasis', 'Neuropsychology-Adult': 'emphasis', 'Neuropsychology-Child': 'emphasis', 'Serious Mental Illness': 'emphasis', 'Anxiety Disorders': 'emphasis', 'Trauma/PTSD': 'emphasis', 'Sexual Abuse': 'experience', 'Substance Use Disorders': 'experience', 'Forensics/Corrections': 'exposure', 'Counseling': 'experience', 'Religion/Spirituality': 'exposure', 'Supervision': 'exposure'}",,emphasis,32000.0,37.5,-78.9,False
1283,Advocate Childhood Trauma Treatment Program/Advocate Childhood Trauma Treatment Program,Oak Lawn,IL,https://membership.appic.org/directory/display/105,105,06/17/2026,Advocate Childhood Trauma Treatment Program,"4700 W. 95th Street Suite LL5 Oak Lawn, Illinois 60454-0776",Community Mental Health Center,Child/Adolescent Psychiatric or Pediatrics,https://www.advocatehealth.com/health-services/behavioral-health-care/childhood-trauma-treatment-program/,https://www.advocatehealth.com/-/media/Project/Health-System-Enterprise/AdvocateHealthCom/advocatehealth/documents/health-services/behavioral-health-care/cttp-internship-25-26.pdf?rev=af9fb8eb160541ecb07c2137ebc4ab52&hash=07B8208E24CFA337119AF8797F81C9F2,Accredited,Not Accredited,09/07/2027,2.0,42640.0,"Comp Time ,
              
              
            
              Dental Insurance,
              
              
            
              Health Insurance,
              
              
            
              Life Insurance,
              
              
            
              Sick Leave,
              
                  
              Vacation",True,11/16/2026 11:59 PM EST,False,False,250.0,75.0,,3.0,True,True,False,True,True,"['Toddlers', 'Children', 'Adolescents', 'Adults', 'Family', 'Outpatients', 'LGBTQ+', 'Ethnic minorities', 'Urban', 'Low income']","{'Assessment': 'experience', 'Individual Therapy': 'major_area', 'Family Therapy': 'major_area', 'Group Therapy': 'exposure', 'Community Intervention': 'exposure', 'Consultation/Liaison': 'major_area', 'Crisis Intervention': 'experience', 'Brief Psychotherapy': 'experience', 'Long-term Psychotherapy': 'major_area', 'Evidenced Based Practice': 'major_area', 'Supervision of Practicum students': 'emphasis'}","{'Assessment': 'emphasis', 'Serious Mental Illness': 'major_area', 'Anxiety Disorders': 'major_area', 'Trauma/PTSD': 'major_area', 'Sexual Abuse': 'major_area', 'Multicultural Therapy': 'major_area', 'Empirically-Supported Treatments': 'major_area', 'Supervision': 'exposure'}",,experience,42640.0,41.7109,-87.7581,True
1263,Advocate Illinois Masonic Medical Center/Behavioral Health Services ,Chicago,IL,https://membership.appic.org/directory/display/671,671,06/15/2026,Behavioral Health Services,"913 W. Wellington Ave. Chicago, Illinois 60657",Private General Hospital,Community Mental Health Center Private General Hospital Private Outpatient Clinic,http://See Training Brochure for Most Updated Info,https://acrobat.adobe.com/id/urn:aaid:sc:VA6C2:4f608580-8925-4b12-b8a9-071cf3af8624,Accredited,Not Accredited,09/07/2027,3.0,42640.0,"Comp Time ,
              
              
            
              Dental Insurance,
              
            
              Disability Insurance,
              
            
              Health Insurance,
              
              
            
              Life Insurance,
              
            
              Professional Development Time,
              
            
              Sick Leave,
              
                  
              Vacation",True,11/13/2026 11:59 PM EST,False,True,500.0,,,3.0,True,True,False,True,True,"['Children', 'Adolescents', 'Adults', 'Family', 'Older Adults', 'Inpatients', 'Outpatients', 'LGBTQ+', 'Ethnic minorities', 'Spanish-speaking', 'Students', 'Urban', 'Low income', 'People without housing']","{'Assessment': 'experience', 'Individual Therapy': 'major_area', 'Couples Therapy': 'exposure', 'Family Therapy': 'experience', 'Group Therapy': 'experience', 'Consultation/Liaison': 'experience', 'Crisis Intervention': 'experience', 'Brief Psychotherapy': 'emphasis', 'Long-term Psychotherapy': 'emphasis', 'Primary Care': 'exposure', 'Evidenced Based Practice': 'major_area', 'Supervision of Practicum students': 'emphasis'}","{'Health Psychology': 'exposure', ""Women's Health"": 'exposure', 'HIV/AIDS': 'exposure', 'Eating Disorders': 'exposure', 'Sexual Disorders': 'exposure', 'Physical Disabilities': 'exposure', 'Learning Disabilities': 'exposure', 'Developmental Disabilities': 'exposure', 'Assessment': 'experience', 'Serious Mental Illness': 'emphasis', 'Anxiety Disorders': 'emphasis', 'Trauma/PTSD': 'emphasis', 'Sexual Abuse': 'emphasis', 'Substance Use Disorders': 'emphasis', 'Geropsychology': 'experience', 'Pediatrics': 'experience', 'Multicultural Therapy': 'major_area', 'Empirically-Supported Treatments': 'major_area', 'Supervision': 'experience', 'Integrated health care - primary': 'emphasis', 'Integrated health care - specialty': 'exposure'}",,experience,42640.0,41.85,-87.65,True
1708,AHRC New York City/Family and Clinical Services,New York,NY,https://membership.appic.org/directory/display/158,158,07/14/2026,Family and Clinical Services,"83 Maiden Lane New York, New York 10038",Other,,http://www.ahrcnyc.org,,Accredited,Not Accredited,09/07/2027,3.0,36400.0,"Dental Insurance,
              
              
            
              Health Insurance,
              
              
              
              
            
              Sick Leave,
              
                  
              Vacation",True,11/15/2026 11:59 PM EST,False,True,,,,3.0,True,True,True,True,True,"['Children', 'Adolescents', 'Adults', 'Family', 'Older Adults', 'Outpatients', 'LGBTQ+', 'Ethnic minorities', 'Spanish-speaking', 'Deaf/Hearing-impaired', 'Urban', 'Low income', 'People without housing']","{'Assessment': 'major_area', 'Individual Therapy': 'major_area', 'Couples Therapy': 'major_area', 'Family Therapy': 'major_area', 'Group Therapy': 'major_area', 'Consultation/Liaison': 'major_area', 'Crisis Intervention': 'major_area', 'Brief Psychotherapy': 'major_area', 'Long-term Psychotherapy': 'major_area', 'Supervision of Practicum students': 'experience'}","{'Health Psychology': 'major_area', 'Eating Disorders': 'major_area', 'Rehabilitation Psychology': 'major_area', 'Physical Disabilities': 'major_area', 'Learning Disabilities': 'major_area', 'Developmental Disabilities': 'major_area', 'Assessment': 'major_area', 'Neuropsychology-Adult': 'major_area', 'Serious Mental Illness': 'major_area', 'Anxiety Disorders': 'major_area', 'Trauma/PTSD': 'major_area', 'Sexual Abuse': 'major_area', 'Substance Use Disorders': 'major_area', 'Geropsychology': 'major_area', 'School': 'major_area', 'Counseling': 'major_area', 'Multicultural Therapy': 'major_area', 'Feminist Therapy': 'major_area', 'Empirically-Supported Treatments': 'major_area', 'Public Policy/Advocacy': 'major_area', 'Program Development/Evaluation': 'major_area', 'Supervision': 'major_area'}",,major_area,36400.0,42.9,-75.6,False
2629,Akron Children's Hospital/Division of Psychology- Department of Psychiatry and Behavioral Health ,Akron,OH,https://membership.appic.org/directory/display/3095,3095,08/10/2026,Division of Psychology- Department of Psychiatry and Behavioral Health,"215 W Bowery Street Considine Building, 4th Floor Akron, Ohio 44308",Academic Health Center,Child/Adolescent Psychiatric or Pediatrics Psychology Department,https://www.akronchildrens.org/pages/Pediatric-Psychology-Residency.html,https://www.akronchildrens.org/pages/Pediatric-Psychology-Residency.html,Not Accredited,Not Accredited,7/1/2027,2.0,50000.0,"Health Insurance,
              
              
              
            
              Professional Development Time,
              
            
              Sick Leave,
              
                  
              Vacation",True,11/01/2026 11:59 PM EST,True,False,,,500.0,3.0,True,True,True,True,True,"['Infants', 'Toddlers', 'Children', 'Adolescents', 'Adults', 'Family', 'Inpatients', 'Outpatients', 'LGBTQ+', 'Ethnic minorities', 'Spanish-speaking', 'Deaf/Hearing-impaired', 'Students', 'Rural', 'Urban', 'Low income']","{'Assessment': 'exposure', 'Individual Therapy': 'major_area', 'Family Therapy': 'exposure', 'Consultation/Liaison': 'experience', 'Brief Psychotherapy': 'experience', 'Long-term Psychotherapy': 'experience', 'Cognitive Rehabilitation': 'exposure', 'Evidenced Based Practice': 'major_area', 'Evidence Based Research': 'exposure', 'Supervision of Practicum students': 'exposure'}","{'Health Psychology': 'experience', 'Rehabilitation Psychology': 'exposure', 'Physical Disabilities': 'exposure', 'Learning Disabilities': 'exposure', 'Developmental Disabilities': 'exposure', 'Assessment': 'exposure', 'Neuropsychology-Child': 'exposure', 'Anxiety Disorders': 'exposure', 'Trauma/PTSD': 'exposure', 'Pediatrics': 'major_area', 'Empirically-Supported Treatments': 'major_area', 'Supervision': 'exposure', 'Research': 'exposure', 'Integrated health care - primary': 'major_area', 'Integrated health care - specialty': 'major_area'}",exposure,exposure,50000.0,41.0814,-81.519,True
